,LOC,EOF1,EOF2,EOF3,EOF4,AR_CAT
1991-02-18 09:00:00,R03,0.45834248732255817,0.22893074430622018,0.08896483388769204,0.3261778205228383,3
1991-02-26 09:00:00,R02,0.48170205217970274,-0.4671279446763377,-0.08289319450755442,-0.272735672298064,2
1991-12-04 09:00:00,R01,-0.4635186167796183,0.009934470378982449,0.31301670049561625,-0.14280011875415016,1
1991-12-05 09:00:00,R01,-0.20351832314158375,-0.03846246991988662,0.5434148848105614,0.10916813371899982,1
1991-12-10 09:00:00,R01,0.2565928882228994,-0.08589325050830536,0.6819444352132301,-0.22760324324912512,2
1991-12-11 09:00:00,R01,0.04736126723988643,-0.006149603499615558,0.6049530200630936,-0.39014351837428984,2
1991-12-12 09:00:00,R01,-0.14634206773938446,-0.020160578934999653,0.5052802518120604,-0.43757530763597147,1
1991-12-13 09:00:00,R01,-0.29592707611484875,-0.06390448044067111,0.3713538344941754,-0.45811395055101745,1
1991-12-14 09:00:00,R01,-0.41779426397793235,-0.15898547168510302,0.23557693824720707,-0.3460536655400183,1
1991-12-15 09:00:00,R01,-0.5682273892907301,-0.042935058359027334,0.210343101162043,-0.20102769783167923,1
1991-12-16 09:00:00,R01,-0.593249272325466,0.3079263914022318,0.04314093376458775,-0.13978627421904416,1
1991-12-24 09:00:00,R03,0.44069116067688874,-0.6031876236776246,-0.17328774084669013,-0.12762174328969378,2
1991-12-25 09:00:00,R03,0.3801475275242741,-0.4931911242556485,0.109530204750489,-0.019292350190326633,2
1991-12-26 09:00:00,R03,0.3262903307345511,-0.30466396024799636,0.20448673712744425,-0.193696506227757,2
1992-01-03 09:00:00,R01,-0.7481070086645237,-0.29938880480690533,-0.2071987286857554,0.06427145350217761,1
1992-01-04 09:00:00,R01,-0.6456519995414212,0.10098915672296352,-0.45405111011759547,0.3339581671492554,1
1992-01-05 09:00:00,R01,-0.31196434337021073,0.1509784766309125,-0.44526931263105823,0.35364790351613057,1
1992-01-06 09:00:00,R01,-0.30391205231562957,0.07334698626477985,-0.24364056477542612,0.02390308401241901,1
1992-01-23 09:00:00,R01,-0.4625819175626002,0.40953005646103346,-0.09788351310812149,-0.0005445229361989466,1
1992-01-24 09:00:00,R01/R02,-0.4868588271257444,0.4401322708356429,-0.214620339255733,-0.05420222394030818,1
1992-01-25 09:00:00,R01/R02,-0.43162059809864306,0.45027668484891786,-0.25602148493956145,-0.16018292834630996,1
1992-01-27 09:00:00,R02,-0.08003204638116221,0.4101207531883368,-0.324217926177308,-0.259255310259636,1
1992-01-28 09:00:00,R02,-0.026257031838464208,0.4273715614130042,-0.2792458569281246,-0.42179943330565856,3
1992-01-29 09:00:00,R01/R02,0.008874966691179027,0.2531853416231493,-0.08037994809389434,-0.6035987148880948,3
1992-02-12 09:00:00,R01,-0.40301184419094416,0.03191343149054651,-0.2892451739821036,-0.00822634919023452,1
1992-02-25 09:00:00,R01,-0.4707612784131411,-0.531200453922657,0.324124079800842,-0.033998956546216444,1
1992-02-26 09:00:00,R01,-0.6852458224641267,-0.27632538994662514,0.0846043869285902,-0.010768796413954533,1
1992-12-23 09:00:00,R01,-0.4465047331048161,-0.08179072983862397,0.3363508677377874,0.14029371143029953,1
1992-12-30 09:00:00,R01,-0.34988394594446504,0.3148246175825929,0.48915538393907265,-0.27932561525142585,1
1992-12-31 09:00:00,R01,-0.18687941449348622,0.4940594994904779,0.4920030377486529,-0.21836362268809983,1
1993-01-05 09:00:00,R01/R02,0.00211974486491579,-0.12795803872451972,-0.03655079774043447,-0.5264289797576506,2
1993-01-07 09:00:00,R03,0.38441397954259376,-0.5058625798064554,-0.12978977900887917,-0.4734324039361162,2
1993-01-08 09:00:00,R03,0.24801589519797534,-0.6232686958703179,0.04771726483306206,-0.3821179731487144,2
1993-01-09 09:00:00,R03,-0.07065664834014132,-0.6459565826903295,0.05864820665211444,-0.2951102670245914,2
1993-01-12 09:00:00,R03,-0.32015393831734035,-0.5036188726380418,-0.521400468533364,0.03431202155726298,2
1993-01-13 09:00:00,R03,-0.2543202763533262,-0.3092590934818824,-0.6001794519000899,0.09067388512568424,1
1993-01-15 09:00:00,R02,-0.14711245499951436,0.13960414652056277,-0.5753247244198596,-0.13992279333536523,1
1993-02-04 09:00:00,R01,-0.5903425533003818,-0.06923239161719737,-0.12805108822151343,0.02406266599874132,1
1993-02-05 09:00:00,R01,-0.6723682480186906,0.0026915574707072,-0.2126746437736877,0.2958683862330164,1
1993-02-06 09:00:00,R01,-0.6471171476014499,0.09508660144024092,-0.026947009151596684,0.3430489189984131,1
1993-02-07 09:00:00,R01,-0.6241565070953276,0.17660364156042324,0.15291872893789615,0.1876807075560768,1
1993-02-14 09:00:00,R01,-0.44852390911742596,-0.1479121704043606,0.19902942486475292,-0.39629922336105333,1
1993-02-18 09:00:00,R03,0.2410378325480695,-0.16556957164226288,0.22421003810496407,-0.5293633467320396,2
1993-02-19 09:00:00,R03,0.2440236494132018,-0.2837197970491743,0.13055858758452216,-0.5371050466063191,2
1993-02-22 09:00:00,R01,0.36880344447049085,-0.18689352059113004,0.35131974253371606,0.16139861354053062,2
1993-02-25 09:00:00,R02,0.6703060763587789,0.43367575391161056,0.05437057088475536,0.14407411946037532,3
1993-02-26 09:00:00,R02,0.7033817073512059,0.32191557664505416,0.0885686037981005,0.1202298221066409,3
1994-01-11 09:00:00,R02,0.6689978793767996,0.22196523627913642,-0.18900106681246948,0.24047886566665294,3
