,LOC,EOF1,EOF2,AR_CAT,EOF_CAT1,EOF_CAT2,EOF_CAT
1992-01-27 09:00:00,R02,-0.08003204638116221,0.4101207531883368,3,0,1,2
1992-01-28 09:00:00,R02,-0.026257031838464208,0.4273715614130042,3,0,1,2
1992-01-29 09:00:00,R01/R02,0.008874966691179027,0.2531853416231493,3,0,0,0
1992-02-12 09:00:00,R01,-0.40301184419094416,0.03191343149054651,3,0,0,0
1992-02-25 09:00:00,R01,-0.4707612784131411,-0.531200453922657,1,1,1,2
1992-02-26 09:00:00,R01,-0.6852458224641267,-0.27632538994662514,3,1,0,1
1992-12-23 09:00:00,R01,-0.4465047331048161,-0.08179072983862397,3,1,0,1
1992-12-30 09:00:00,R01,-0.34988394594446504,0.3148246175825929,3,0,0,0
1992-12-31 09:00:00,R01,-0.18687941449348622,0.4940594994904779,3,0,1,2
1993-01-05 09:00:00,R01/R02,0.00211974486491579,-0.12795803872451972,1,0,0,0
1993-01-07 09:00:00,R03,0.38441397954259376,-0.5058625798064554,1,1,1,2
1993-01-08 09:00:00,R03,0.24801589519797534,-0.6232686958703179,1,0,1,2
1993-01-09 09:00:00,R03,-0.07065664834014132,-0.6459565826903295,1,0,1,2
1993-01-12 09:00:00,R03,-0.32015393831734035,-0.5036188726380418,1,0,1,2
1993-01-13 09:00:00,R03,-0.2543202763533262,-0.3092590934818824,1,0,0,0
1993-01-15 09:00:00,R02,-0.14711245499951436,0.13960414652056277,3,0,0,0
1993-02-04 09:00:00,R01,-0.5903425533003818,-0.06923239161719737,3,1,0,1
1993-02-05 09:00:00,R01,-0.6723682480186906,0.0026915574707072,3,1,0,1
1993-02-06 09:00:00,R01,-0.6471171476014499,0.09508660144024092,3,1,0,1
1993-02-07 09:00:00,R01,-0.6241565070953276,0.17660364156042324,3,1,0,1
1993-02-14 09:00:00,R01,-0.44852390911742596,-0.1479121704043606,3,1,0,1
1993-02-18 09:00:00,R03,0.2410378325480695,-0.16556957164226288,1,0,0,0
1993-02-19 09:00:00,R03,0.2440236494132018,-0.2837197970491743,1,0,0,0
1993-02-22 09:00:00,R01,0.36880344447049085,-0.18689352059113004,2,0,0,0
1993-02-25 09:00:00,R02,0.6703060763587789,0.43367575391161056,2,1,1,2
1993-02-26 09:00:00,R02,0.7033817073512059,0.32191557664505416,2,1,0,1
1994-01-11 09:00:00,R02,0.6689978793767996,0.22196523627913642,2,1,0,1
1994-01-12 09:00:00,R02,0.6544418747077916,0.15832169416609204,2,1,0,1
1994-01-15 09:00:00,R03,0.4841473832999349,-0.610864180935988,1,1,1,2
1994-01-16 09:00:00,R03,0.3608246228235509,-0.34035052129679205,1,0,1,2
1994-01-25 09:00:00,R01,-0.087955647031603,0.2981078568622884,3,0,0,0
1994-01-26 09:00:00,R01,-0.12358539891967962,0.39580203886359494,3,0,1,2
1994-01-27 09:00:00,R02,0.1297484557623322,0.399508576825967,2,0,1,2
1994-02-08 09:00:00,R02,0.2934900667101894,0.16487268105223535,2,0,0,0
1994-02-09 09:00:00,R03,0.026922421221472488,0.2655057976443998,2,0,0,0
1994-02-20 09:00:00,R02,0.5681289681892833,0.15741269892384516,2,1,0,1
1994-02-21 09:00:00,R02,0.5862557662066855,-0.1937193705182537,2,1,0,1
1994-02-22 09:00:00,R03,0.2231160140684097,-0.5076675942044973,1,0,1,2
1994-12-05 09:00:00,R01,-0.6735248068602366,-0.03577532990399734,3,1,0,1
1994-12-06 09:00:00,R01,-0.5940359724911755,-0.005737793445266206,3,1,0,1
1994-12-07 09:00:00,R01,-0.37779228417210287,0.010084755739828264,3,0,0,0
1995-01-08 09:00:00,R03,0.7201261117575221,0.1375336722375596,2,1,0,1
1995-01-09 09:00:00,R03,0.7175017257513312,0.18104087160167995,2,1,0,1
1995-01-17 09:00:00,R03,0.31834301890019656,-0.35883730471000963,1,0,1,2
1995-02-06 09:00:00,R01,-0.20512920131166434,-0.4878296727218921,1,0,1,2
1995-02-07 09:00:00,R01,-0.300121860616065,-0.5212970894377369,1,0,1,2
